GEN;BLOCK;FLO;PH;SH;FLH;DIS;GY;HW;NSS;NGSP;SL;SW;NGS;GMS;HIS
G1;1;67;88.3;80.3;65.6;4;4223;77.36;12.6;3.13;8;1.96;39.3;1.45;73.79
G1;2;67;93.5;84.1;68.7;4;3866.63;77.14;15.8;2.52;9.4;2.02;39.7;1.5;74.32
G1;3;67;88.6;81.6;65.5;3;3675.57;76.04;15.3;2.73;7;1.68;41.7;1.27;75.64
G2;1;66;87;80.7;67.5;5;4800;80.79;15.2;2.49;6.3;1.86;37.9;1.49;80.23
G2;2;67;84.7;78.1;63.1;5;4626.03;77.64;13.8;2.51;6.6;1.57;34.4;1.28;81.44
G2;3;67;79.1;70.7;59.9;4;5581.57;78.3;15.1;2.7;8.4;1.9;40.7;1.45;76.08
G3;1;69;80.5;74.2;59.8;5;5493.3;69.66;13.2;2.6;6.3;1.64;34.3;1.3;79.16
G3;2;69;86.6;78.8;61.7;5;5077.77;76.75;14.3;2.38;7.8;1.78;33.9;1.33;75.1
G3;3;69;88.1;80.8;65.7;5;5571.93;70.08;13.7;2.27;7.3;1.39;31.8;1.16;83.55
G4;1;67;90.2;82.9;64.1;2;4885.77;80.9;15.5;2;7.3;1.42;31.2;1.07;75.56
G4;2;67;100;91.4;75.1;2;5005.1;77.5;16.6;2.24;8.6;1.62;37.6;1.15;71.26
G4;3;66;99.9;93.1;71.8;2;4752;77.94;15.6;2.43;6.8;1.75;37.7;1.37;78.36
G5;1;61;94;83.7;61.4;2;4792.83;79.06;19.4;2.5;10.3;2.49;48.6;1.79;71.6
G5;2;56;80.4;71.2;54;2;4953.17;72.63;16.6;2.24;9.2;1.7;38.4;1.19;69.92
G5;3;61;86.5;76.1;54.7;2;4739.5;74.57;18.7;2.46;10.4;2.47;46.2;1.69;68.11
G6;1;59;88.7;79.8;64.4;3;4743;80.42;15.8;2.67;8.9;2.32;42;1.79;77.29
G6;2;56;85.4;78;56.5;2;5113.4;77.03;14.3;2.47;7.4;1.74;35.5;1.4;80.39
G6;3;56;84.8;77.2;57.1;3;4587;77.05;14.9;3;7.6;2.1;44.8;1.76;83.75
G7;1;60;94.1;85.6;62.8;3;4409.53;79.7;15.5;3.34;8.5;2.93;51.9;2.29;78.05
G7;2;55;84;77.7;57.1;1;5167.2;78.5;12.5;2.89;6.3;2.16;36.5;1.52;70.06
G7;3;56;85.9;77.9;56.4;2;4996.83;77.82;15.2;3.03;8;2.43;46.1;1.91;78.27
G8;1;61;88;78.3;62.5;3;5191.2;79.35;17.4;2.17;9.7;2.35;37.7;1.74;73.78
G8;2;57;78.8;69.6;55.2;2;4919;77.9;15;2.51;9.2;2.14;37.5;1.57;73.4
G8;3;57;83.5;73.9;59.2;3;4509.33;79.02;15.9;2.67;9.6;2.48;42.5;1.78;71.83
G9;1;65;88.1;78.6;58.1;4;4884.13;79.48;16.7;2.43;9.5;2.2;40.5;1.52;69.21
G9;2;60;87.7;77.7;58.9;3;4482.87;77.77;15.7;2.8;10;2.74;44.4;1.99;72.59
G9;3;61;87.3;77.5;57.4;3;3972.37;78.58;14.9;2.63;9.8;2.48;38.8;1.67;67.38
G10;1;66;80.6;72.5;57;4;3965;71.05;18.3;2.07;8.1;2.07;37.9;1.5;72.22
G10;2;61;78.6;68;53.5;4;4671.2;74.12;18.4;2.27;10.6;2.42;41.7;1.64;67.49
G10;3;60;78.3;70.7;54.2;4;4226.8;77.3;14.6;2.49;7.6;2.42;37;1.8;74.55
G11;1;65;84.1;75.7;58.6;4;5239.17;75.97;17.4;2.19;8.4;2.28;38.1;1.68;73.46
G11;2;61;82.5;73;58.1;5;5057;78.98;17.3;2.07;9.5;2.59;36;1.71;66
G11;3;61;89;78.9;59.7;4;5160.87;74.6;17.5;2.54;10.1;2.61;43.8;1.83;70.07
G12;1;60;84.7;75.6;58.6;3;4947.37;77.83;16.7;2.41;9.1;2.42;40.1;1.92;79.35
G12;2;56;82.5;72.9;56.5;3;4469.87;78.64;15.6;2.46;9.6;2.76;38.4;2.1;76.08
G12;3;56;85.9;75.9;57.8;4;4330.47;78.28;17.2;2.65;10;3.13;45.7;2.41;77.2
G13;1;56;97.1;90.6;67.1;4;3985;77.66;13.3;2.74;6.5;1.94;36.5;1.51;77.74
G13;2;60;97.4;88.8;70.6;4;4878.63;77.78;14.4;2.32;8.6;1.72;33.6;1.36;79.1
G13;3;56;94.5;87;65.2;3;4258;78.64;11.9;3.75;7.5;1.26;25.4;1;79.48
G14;1;56;87.7;80;58.6;2;4114.73;78.64;13.5;2.08;7.7;2.56;28.6;1.94;75.89
G14;2;56;89;81.4;59.6;2;3982;76.45;14.2;2.88;7.6;2.53;41.1;2.1;83.33
G14;3;56;90.5;82.1;60.5;3;3640.97;79.02;13.5;2.71;8.4;2.17;36.8;1.73;79.79
G15;1;61;91.6;83.6;62.4;3;4258;78.81;16.9;2.52;8;2.49;42.7;1.87;75.14
G15;2;67;92.1;82.2;61.2;4;5181.9;75.01;17.8;2.82;9.9;2.7;50.1;1.96;72.43
G15;3;62;83;74.1;56.6;3;4416.87;73.36;16.3;2.45;8.9;1.95;40.2;1.51;77.31
G16;1;60;86.5;78.1;61.9;2;4689.87;77.78;15.3;2.43;8.4;2.22;37.2;1.7;76.33
G16;2;56;75.2;66.5;47.1;2;4256;75.11;15.2;3.12;8.7;2.71;47.5;1.96;72.26
G16;3;56;86.1;78.3;60.4;2;4849.67;73.9;16.3;2.42;7.8;2.08;39.4;1.49;71.57
G17;1;61;84.6;73.8;60.5;4;4365;77.84;17.5;2.75;10.8;2.6;47.9;1.79;68.85
G17;2;60;83.3;72.8;58.3;3;3987;74.77;17.6;2.49;10.5;2.39;44.1;1.62;67.96
G17;3;61;82.1;72.7;56.2;3;3625.8;74.45;18;2.84;9.4;2.54;51.1;1.77;69.76
G18;1;59;87.1;77.7;57.8;3;4402.1;77.43;15.4;2.87;9.4;2.73;44.2;2.06;75.65
G18;2;56;90.9;82.4;60.6;3;4896;77.22;14.6;2.89;8.5;2.59;42.3;2.02;78
G18;3;56;89.3;80.1;61.6;3;5050;79.7;15.1;2.8;9;2.6;43;2.03;78.08
G19;1;59;80.9;71.6;56.5;3;4246.53;76.36;15.9;3.07;9.3;2.64;48.9;1.9;71.74
G19;2;57;77.9;68.7;53.6;3;5371.37;74.91;14.9;2.88;9.2;2.3;42.9;1.64;71.41
G19;3;60;79.5;69.6;53;3;4698;70.68;15.7;2.69;9.9;2.28;42.2;1.6;70.03
G20;1;59;81;72.5;53;3;4627.4;76.49;12.7;2.51;8.5;1.84;32.2;1.32;72.04
G20;2;56;78;69.56;51.89;2;3868.13;76.84;13;2.9;8.44;2.3;37.56;1.72;74.59
G20;3;54;74.9;66.3;50.8;2;3589;78.25;12.9;2.47;8.6;1.95;32.1;1.44;73.94
G21;1;56;81.7;74.1;58.7;3;3658;76.51;15.1;2.59;7.6;1.87;39;1.37;73.23
G21;2;56;79.2;70.8;55.8;1;3611.4;78.99;14.8;2.64;8.4;2.53;39;1.84;72.69
G21;3;60;83.8;75.4;59.9;2;4896;76.68;15;2.33;8.4;1.94;35.3;1.41;72.95
G22;1;56;82.1;74.1;56.6;2;4375.3;76.62;15.4;2.6;8;2.24;39.6;1.76;78.53
G22;2;56;81.2;72.6;54.3;2;4669.83;77.86;13.4;2.71;8.6;2.02;36.3;1.6;78.88
G22;3;56;87.1;79.2;59.4;2;4708.3;78.63;14.2;2.55;7.9;2.28;36.1;1.75;76.81
G23;1;61;84.8;75.3;60.7;2;3986.4;71.68;17.1;2.88;9.5;2.15;49.2;1.59;73.91
G23;2;57;87.8;79.9;64.6;2;3658;74.7;15.9;2.57;7.9;2;40.9;1.47;73.43
G23;3;61;83.6;74.9;62.5;2;3915.4;76.75;14.5;2.8;8.7;2.64;40.6;1.96;74.23
G24;1;61;87.4;79;65.2;2;4495.67;72.54;16.1;2.18;8.4;1.93;35.3;1.37;71.09
G24;2;64;82.6;73.6;59;1;5175.8;71.96;16.3;2.26;9;1.78;37.2;1.27;71.53
G24;3;61;94;84.4;66.9;2;4256;69.49;16.7;2.59;9.6;2.17;43.1;1.48;68.42
G25;1;61;88.1;79.6;65.1;2;3987;72.41;15.1;2.45;8.5;1.94;37.1;1.39;71.49
G25;2;61;87.5;78.6;63.3;2;4741.93;76.31;15.9;2.7;8.9;2.38;42.9;1.76;73.77
G25;3;61;88.7;80.6;64.7;2;4121.03;75;15.7;2.28;8.1;1.71;35.9;1.13;66.26
G26;1;64;93;84.3;67.7;2;4398.43;75.03;16.8;2.32;8.7;1.95;39;1.45;74.59
G26;2;61;86.9;77;62.7;1;4186.23;73.83;16.3;2.51;9.9;2.26;40.9;1.59;70.25
G26;3;61;89.1;80.9;65.7;2;4169.7;75.84;14.1;1.9;8.2;1.49;27;1.09;73.37
G27;1;61;87.9;79.4;63.2;1;3987;73.89;16.6;2.77;8.5;2.4;45.8;1.76;73.43
G27;2;62;91.3;81.3;66.2;1;4387.13;73.66;17.7;2.81;10;2.21;49.7;1.61;72.97
G27;3;62;88.1;79.6;62.6;1;4076.6;69.81;16.8;2.67;8.5;1.89;44.8;1.3;68.53
G28;1;60;90.9;81.9;63.6;2;4544.1;76.59;14.9;3.12;9;2.4;46.5;1.82;75.83
G28;2;57;80.8;73.1;56.3;1;4896;76.94;13.7;3.28;7.7;2.1;45.1;1.62;77.3
G28;3;56;82;73.7;56.4;1;5452.33;74.02;14.7;3.01;8.3;2.11;44;1.57;74.27
G29;1;61;88.2;79.2;64.1;2;3477.23;72.97;14.9;2.52;9;1.79;37.6;1.32;73.49
G29;2;61;83.5;74.1;58.8;2;3258;70.97;18.4;2.48;9.4;1.8;45.8;1.24;68.97
G29;3;61;87.1;78.3;63.7;2;4022.67;69.66;16;2.29;8.8;1.73;36.8;1.18;68.21
G30;1;60;85.8;77.7;62.2;2;4152.87;75.14;15.5;3.2;8.1;2.13;49.3;1.59;74.57
G30;2;56;76.3;67.7;51.3;1;4581.6;75.77;14.7;2.76;8.6;2.06;41;1.45;70.33
G30;3;57;85.4;76.8;62.2;2;3875;70.86;14.6;2.23;8.6;1.31;32.4;0.92;70.53
G31;1;57;82.5;74.8;58.2;1;4621.83;74.94;16.4;2.8;7.7;2.14;46.1;1.66;77.45
G31;2;61;83.2;75.7;60.4;2;4965;73.92;15.6;2.7;7.5;1.95;42.7;1.48;75.92
G31;3;60;91.9;80.7;66.6;2;3914.23;69.46;18.9;2.24;11.2;2.04;42.2;1.43;69.92
G32;1;60;92.7;84.6;62.8;2;4356;77.22;14.6;3.25;8.1;2.65;47.2;2;75.56
G32;2;56;81.4;71.5;52.6;2;5491.13;76.09;16.1;2.93;9.9;2.97;47.2;2.23;75.32
G32;3;61;98;89.2;66.2;3;5244.57;77.1;16;2.8;8.8;2.46;44.8;1.84;74.71
G33;1;56;95;87.3;65.9;3;3736.97;78.2;15.1;3.08;7.7;2.67;46.5;2.11;79.11
G33;2;56;84.6;75.7;57.7;1;3790.57;75.31;15.6;2.97;8.9;2.32;46.3;1.72;74.14
G33;3;56;94.5;83.7;66;1;3112.07;76.97;15.6;2.75;10.8;2.4;42.4;1.86;77.62
G34;1;60;75.3;66.2;52.8;3;4106.97;71.4;15.7;2.66;9.1;2.39;41.4;1.71;71.51
G34;2;61;80.3;71.2;57.4;4;3789.07;74.56;15.6;2.54;9.1;2.33;39.8;1.67;71.64
G34;3;60;87.4;77;60.8;3;3798.5;72.72;17.9;2.54;10.4;2.76;45.8;1.96;70.88
G35;1;61;72.5;62.7;48.2;3;5031.07;76.52;16;2.19;9.8;2.01;35.1;1.43;71.24
G35;2;61;77.3;68.5;53;3;3605.2;76.37;17.7;2.21;8.8;2.28;39;1.66;72.54
G35;3;56;85;76;55.9;3;3452;77.36;14.4;3.16;9;2.56;45.3;2.07;80.8
G36;1;56;87.1;77.1;55.7;2;4896;74.95;16.7;2.61;10;2.82;43.5;2.07;73.68
G36;2;56;85.4;74.6;57;2;3425;76.18;15.9;2.79;10.8;2.95;44.3;2.19;74.02
G36;3;56;85.8;75.8;57.8;3;4147.1;74.89;16.3;2.81;10;2.6;45.5;1.91;73.49
G37;1;59;83.6;74.1;53.9;2;4591.73;79.43;17.8;2.73;9.5;3;48.5;2.25;74.97
G37;2;56;83;73.4;53.3;4;4017.5;78.14;15.4;3.06;9.6;2.67;47.3;2.03;75.93
G37;3;56;85.5;76;56.8;3;3793.1;79.55;16.3;3.09;9.5;3;50.4;2.29;76.48
G38;1;60;87.4;78.8;57.6;2;3080.67;77.74;17.2;2.67;8.6;2.44;46.1;1.92;78.56
G38;2;61;83.6;74.7;54.4;3;3801.77;79.76;16.6;2.8;8.9;2.51;46.7;2.05;81.73
G38;3;61;90.8;83.1;60.7;4;3486.27;80.7;15.4;2.34;7.7;2.02;36.1;1.59;78.57
G39;1;57;81.2;71.9;57.7;4;4185.87;75.41;15.6;2.5;9.3;2.09;39.1;1.58;75.37
G39;2;61;74.5;66.3;49.2;3;3587;75.41;15.5;2.69;8.2;2.19;41.5;1.8;82.04
G39;3;57;78.2;70.2;54.4;3;4241.9;74.99;15.5;2.68;8;2.3;41.3;1.76;76.29
G40;1;67;87.9;79;65.1;3;4523;78.35;14.7;2.38;8.9;1.75;34.9;1.29;73.93
G40;2;66;88.4;80.5;65.2;3;5243.4;77.2;13.8;2.83;7.9;1.75;38.9;1.3;74.36
G40;3;63;95.7;86.9;69.8;4;4218.67;76.44;15.4;2.83;8.8;1.97;43.8;1.56;79.03
G41;1;70;94.9;87.9;70.5;5;4980.23;80.59;14.1;2.8;7;1.81;39.5;1.41;77.91
G41;2;69;91.8;83.9;64.1;5;4520.8;81.85;14.3;1.91;7.9;1.59;27.5;1.12;70.78
G41;3;69;91.1;82.5;65;5;4256;79.91;15.6;2.58;8.6;1.91;40;1.46;76.48
G42;1;65;85.7;77.8;61.7;5;3980;77.48;14.1;2.77;7.9;1.79;38.9;1.4;78.34
G42;2;67;89.6;81.6;63.8;5;3861.33;71.15;14;2.63;8;1.73;36.9;1.34;77.59
G42;3;61;90.9;84.3;66;3;4941.4;77.09;14.8;2.41;6.6;1.59;35.8;1.24;78.21
G43;1;68;94.4;87.6;67.4;5;3988.6;78.41;12.5;2.52;6.8;1.5;31.8;1.16;77.15
G43;2;65;91.8;84.8;66.4;5;4810.1;79.08;13.5;2.66;7;1.57;35.9;1.3;82.89
G43;3;67;95.4;87;67.3;5;4092.47;76.86;15.3;2.42;8.4;1.68;37;1.27;75.65
G44;1;60;95.9;89.4;70.2;5;3092.03;79.91;14.6;2.59;6.5;1.61;38.1;1.26;78.47
G44;2;61;88.88;81.63;63.25;3;4231.57;78.7;16;2.2;7.25;1.52;35.63;1.18;78.14
G44;3;61;96.43;87.86;70.14;3;3063.4;79.99;15.57;2.2;8.57;1.59;34.71;1.29;80.97
